generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
3,2,36,2,0.011447298984516711,1.0759265293792506,True,False,"[8, 15]","[0.057892340338049374, 0.024914574602717007]"
3,3,19,1,0.014942254654330293,1.0450819743901008,True,False,[5],[0.028286663889671347]
3,4,29,1,0.015596151153430503,1.0664250785418148,True,False,[7],[0.03293912982833573]
3,5,40,1,0.02781034760771906,1.0850311759423363,True,False,[12],[0.034371078463358185]
3,8,17,3,0.014753279463873769,1.0286129593516191,True,False,"[8, 15, 16]","[0.027366000281186506, 0.025133358446520423, 0.025133358446520423]"
3,9,4,1,0.01604959530321966,1.033305428285086,True,False,[5],[0.018160744178735557]
3,12,5,1,0.01577648218599814,1.0254766864284588,True,False,[7],[0.04051755101179306]
3,13,8,1,0.01654387965581809,1.0371758735366705,True,False,[15],[0.04847752667455784]
3,14,2,1,0.015788674835421304,1.0602156865087367,True,False,[5],[0.030333324784140782]
3,15,6,1,0.01629599781361425,1.0483472290791631,True,False,[5],[0.03866289797256768]
3,16,53,1,0.02977291478321683,1.1123187015753424,True,False,[7],[0.02057193624804562]
3,18,18,1,0.016108937188132888,1.0421435889380986,True,False,[7],[0.034823938132824736]
3,19,21,2,0.01611832505593378,1.0433258919896642,True,False,"[7, 16]","[0.04754770450386353, 0.04754770450386353]"
3,20,68,1,0.01774015313030261,1.0429458866722343,True,False,[7],[0.027039147787939675]
3,21,10,1,0.0145875161259696,1.042555342176587,True,False,[8],[0.03906306835012376]
3,22,22,1,0.015778402826764387,1.042932053781172,True,False,[7],[0.044944542945399464]
3,23,60,1,0.017424879567719206,1.0531575757213143,True,False,[7],[0.021730451300276465]
4,0,0,1,0.016702159994592927,1.0439968267039739,True,False,[7],[0.03122769119651449]
4,2,36,1,0.015733959103838024,1.0851777878236497,True,False,[7],[0.05376359526503932]
4,3,19,1,0.016094118866330838,1.045110559658374,True,False,[7],[0.01856684831045521]
4,4,29,2,0.014019869995903255,1.075349951597861,True,False,"[7, 11]","[0.04838192190975623, 0.033730140116591686]"
4,5,79,1,0.05255687115672953,1.1877401458808907,True,False,[5],[0.026950641800604948]
4,7,89,2,0.018596520147995177,1.0612216859911083,True,False,"[16, 17]","[0.052201145840697, 0.052201145840697]"
4,8,4,1,0.01649480356466173,1.0340220320980957,True,False,[5],[0.030367656912217846]
4,11,11,1,0.016375205636915854,1.044415442055005,True,False,[7],[0.02901761578343679]
4,13,8,1,0.016267050145153727,1.0601107594634798,True,False,[17],[0.07425948738832663]
4,14,2,1,0.01581134508210594,1.0818383602883919,True,False,[5],[0.04470620098030729]
4,15,16,1,0.016006664344098424,1.04760925158337,True,False,[5],[0.06730879463129004]
4,16,5,1,0.015961156834195862,1.0310732669527023,True,False,[11],[0.033256909536873214]
4,17,13,3,0.015913812555461433,1.0380712941921646,True,False,"[7, 8, 12]","[0.05364124469213562, 0.04045805411775418, 0.04045805411775418]"
4,18,83,1,0.024328096463971025,1.1115525204495718,True,False,[7],[0.049666923229541284]
4,19,53,1,0.015785521586832003,1.105076880893222,True,False,[5],[0.038262660889471736]
4,20,21,2,0.013906169893657313,1.0445334882381687,True,False,"[7, 12]","[0.040331086464445366, 0.029285937407685713]"
4,21,6,1,0.015784228013337596,1.056448438239576,True,False,[5],[0.027921956450731682]
4,22,10,1,0.015774226712157682,1.043055411119025,True,False,[7],[0.04227316416298847]
4,23,18,1,0.016285832097402118,1.0427502160974607,True,False,[7],[0.04430185280199424]
5,0,0,2,0.010409762826599701,1.0556644996213491,True,False,"[6, 7]","[0.05926256368313606, 0.030139419049581822]"
5,2,36,1,0.015538794211184695,1.0923476301959572,True,False,[15],[0.0524008084746015]
5,3,19,1,0.01627329624987069,1.067382200680028,True,False,[15],[0.03815794902376024]
5,4,29,1,0.014083889802324603,1.0906306174455598,True,False,[7],[0.05413762304614291]
5,5,108,1,0.02122495471698129,1.1039470741294122,True,False,[16],[0.029128952393634295]
5,6,79,1,0.016378782527011512,1.173595602160514,True,False,[5],[0.03074502775932751]
5,7,40,1,0.01590307428530851,1.1008718737981644,True,False,[5],[0.03353075523805837]
5,8,89,1,0.016056260130762046,1.0571874818128593,True,False,[16],[0.03276723238159583]
5,9,97,1,0.03035364049741441,1.1075453515471885,True,False,[5],[0.02315621418890636]
5,12,106,1,0.027890783049461233,1.0971589508944837,True,False,[16],[0.046951336761471986]
5,13,17,1,0.015924736018765748,1.0299856088811505,True,False,[16],[0.01827004500093449]
5,14,8,1,0.01630677664946051,1.060176825886492,True,False,[7],[0.020328326717717716]
5,15,2,1,0.01574032455314871,1.1039169252018193,True,False,[7],[0.04399034737035874]
5,16,23,1,0.016296708874305784,1.041292367700021,True,False,[6],[0.019742434166737374]
5,17,11,1,0.015647673695209464,1.0453781846592831,True,False,[7],[0.04694238988638219]
5,18,13,1,0.015791595148377184,1.0392551649788415,True,False,[15],[0.03904657508655498]
5,19,16,1,0.016424449861514045,1.0585424334028437,True,False,[12],[0.029711814888649494]
5,20,5,1,0.015612128090032833,1.0526230375828967,True,False,[7],[0.04288883060503991]
5,21,21,2,0.015269447776581846,1.0656311099225904,True,False,"[7, 12]","[0.04970369835395784, 0.06217310911374913]"
5,22,83,2,0.012952668935070862,1.1220131836950042,True,False,"[7, 12]","[0.05308009176218299, 0.043533854252396365]"
5,23,53,1,0.015302186877736339,1.127426166928898,True,False,[12],[0.050422179382640014]
6,0,0,1,0.015693561529423566,1.0758839877143231,True,False,[6],[0.05337268865464666]
6,1,7,2,0.01546460010663474,1.046668620432294,True,False,"[7, 8]","[0.034862071285152695, 0.03657769901140646]"
6,3,19,1,0.01625363695202669,1.067248949986994,True,False,[7],[0.030555931633352594]
6,6,79,1,0.016067321389456813,1.1896097497383629,True,False,[5],[0.028159572701260283]
6,7,40,1,0.015249727303986552,1.118554534143153,True,False,[5],[0.057580439420853724]
6,8,89,2,0.014054838610288688,1.0699276309193,True,False,"[8, 12]","[0.051012939688032444, 0.03962699728155799]"
6,10,97,1,0.015299296104724695,1.1129059476345324,True,False,[8],[0.07458788804378709]
6,12,12,2,0.015302916338088562,1.0291173816431403,True,False,"[7, 15]","[0.05587452143916625, 0.025298000343798702]"
6,13,106,1,0.014620640199593835,1.1057327703879198,True,False,[16],[0.04013496149162065]
6,14,17,1,0.01540870700519882,1.0533689254066596,True,False,[5],[0.06709168120969249]
