generation,parent_idx,lineage_id,m_active,A_delta_fro,condition_number_after,shrink_applied,psd_fallback,active_js,v_norms
9,9,206,2,0.016524878676814618,1.2658336328983693,True,False,"[7, 12]","[0.09417051537392361, 0.027705151616893048]"
9,10,200,1,0.07072551471813156,1.2694027197039415,True,False,[8],[0.09330351421451913]
9,11,156,2,0.01719233701382733,1.3147920272077704,True,False,"[15, 17]","[0.08595459522843774, 0.07120762168744085]"
9,12,115,3,0.01438125726270994,1.1288862301699891,True,False,"[7, 11, 15]","[0.0780284060058092, 0.05378354224144738, 0.05378354224144738]"
9,14,174,2,0.015293133785276636,1.6276435963061715,True,False,"[7, 15]","[0.09159845178028106, 0.08182768780424737]"
9,15,137,1,0.014885171064271558,1.3257780537393928,True,False,[12],[0.02825894820538974]
9,16,0,2,0.01641747317401051,1.0801638219380565,True,False,"[6, 7]","[0.03277926055269547, 0.03277926055269547]"
9,17,106,1,0.015014362858202126,1.2099919600868545,True,False,[5],[0.05244339404442361]
9,18,73,3,0.012739061827138213,1.237856060635829,True,False,"[7, 12, 15]","[0.03951008035397668, 0.06258824466213385, 0.03998527898229118]"
9,19,171,1,0.021826580956960794,1.355869297300422,True,False,[12],[0.056984306472109385]
9,20,19,1,0.01601804141252205,1.0596247207759952,True,False,[5],[0.11191538474440325]
9,21,172,1,0.026786797256831255,1.1933964761781886,True,False,[12],[0.07091161775489338]
9,22,27,1,0.01575859983923486,1.173937420232795,True,False,[15],[0.03301929780098283]
9,23,187,1,0.014518881776258135,1.2387200069216957,True,False,[7],[0.06561635625537032]
10,0,58,1,0.015336182730856227,1.3247825769843136,True,False,[8],[0.03488380026043895]
10,1,86,1,0.012963539146606083,1.4841620927376036,True,False,[7],[0.0522485317016452]
10,3,178,2,0.013231193488213663,1.2818689239215262,True,False,"[7, 15]","[0.08856673117464527, 0.10960169224691634]"
10,4,164,1,0.017610090066237077,1.3199304855861727,True,False,[7],[0.08994321759974541]
10,5,146,2,0.014741752054553359,1.1398685342696249,True,False,"[7, 8]","[0.038508129699299655, 0.03263588748068568]"
10,7,35,1,0.015649082102146373,1.3610986774746512,True,False,[5],[0.07215381261859821]
10,8,7,1,0.015980600272106082,1.0704592514210625,True,False,[8],[0.046100605241023454]
10,9,206,2,0.013733077590870108,1.2711496416772068,True,False,"[12, 15]","[0.04395736738057676, 0.03967089649526776]"
10,12,156,2,0.015397854987982162,1.3086680901231522,True,False,"[15, 16]","[0.08575803723683821, 0.09434072575611603]"
10,13,219,1,0.02045254507241893,1.270441581915755,True,False,[7],[0.10140000079906347]
10,14,174,1,0.015735010563630674,1.6327569352569962,True,False,[7],[0.1013005329211706]
10,15,137,1,0.01560729512655542,1.3166142245320431,True,False,[8],[0.06567767936084618]
10,17,106,1,0.014669680203347002,1.2106066292667252,True,False,[12],[0.04131397435903976]
10,18,225,2,0.025066184938658632,1.3529594744970932,True,False,"[7, 15]","[0.06998677003278889, 0.07079080722523141]"
10,21,27,2,0.012060695157437908,1.1785206740588106,True,False,"[7, 11]","[0.042381469915460775, 0.025462236534357464]"
10,23,227,3,0.03534009075350119,1.369893242814396,True,False,"[8, 12, 15]","[0.10080436977805513, 0.0781646154868967, 0.0781646154868967]"
11,0,58,1,0.01355068189937746,1.348010295925556,True,False,[7],[0.06880795166890566]
11,2,154,1,0.015358499116496512,1.2164556614099375,True,False,[12],[0.05404904122728075]
11,3,178,1,0.014504878043218358,1.2786743951946449,True,False,[5],[0.025323841655505292]
11,4,164,2,0.014305687777825515,1.3219499640766859,True,False,"[8, 16]","[0.1218406141535152, 0.032295114137075635]"
11,5,146,2,0.01186909400916378,1.1409754524511402,True,False,"[7, 15]","[0.03600181969615835, 0.030831279809603193]"
11,6,186,2,0.013359577619690647,1.2382433893825284,True,False,"[7, 8]","[0.05038525524191623, 0.05017143537898685]"
11,8,7,1,0.015772122756115916,1.0721768740906605,True,False,[7],[0.059844248384838]
11,12,156,3,0.013814897475517694,1.3140350501944484,True,False,"[7, 8, 15]","[0.11463498424619659, 0.07911463216562074, 0.09313316368077795]"
11,13,219,1,0.013294956433690048,1.2909229804566267,True,False,[5],[0.02066648100211249]
