generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
50,15,15,24,0.625,0,0,1.2666666666666666,0.01381351330332598,0.018624559366808905,True,18,"[0, 0, 0, 0, 0, 4, 1, 3, 6, 0, 0, 0, 3, 0, 0, 1, 0, 1]"
51,21,21,24,0.875,0,0,1.4761904761904763,0.013467489021390397,0.02803988341479692,True,18,"[0, 0, 0, 0, 0, 1, 1, 11, 6, 0, 0, 0, 2, 0, 0, 6, 3, 1]"
52,22,22,24,0.9166666666666666,0,0,1.4545454545454546,0.013235674427267452,0.0168602527996863,True,18,"[0, 0, 0, 0, 0, 2, 0, 7, 7, 0, 0, 0, 3, 0, 0, 6, 4, 3]"
53,19,19,24,0.7916666666666666,0,0,1.4210526315789473,0.012920270833199483,0.015503127900865296,True,18,"[0, 0, 0, 0, 0, 2, 1, 9, 7, 0, 0, 1, 2, 0, 0, 2, 2, 1]"
54,21,21,24,0.875,0,0,1.2380952380952381,0.01303917095667909,0.016204557174659323,True,18,"[0, 0, 0, 0, 0, 5, 1, 4, 7, 0, 0, 0, 2, 0, 0, 4, 1, 2]"
55,17,17,24,0.7083333333333334,0,0,1.2941176470588236,0.012950465432531788,0.014951479297920182,True,18,"[0, 0, 0, 0, 0, 1, 1, 5, 3, 0, 0, 0, 4, 0, 0, 6, 2, 0]"
56,21,21,24,0.875,0,0,1.380952380952381,0.013338967487320396,0.016680193902644483,True,18,"[0, 0, 0, 0, 0, 3, 0, 10, 8, 0, 0, 0, 2, 0, 0, 4, 1, 1]"
57,18,18,24,0.75,0,0,1.4444444444444444,0.012515592237320924,0.017298069792569985,True,18,"[0, 0, 0, 0, 0, 0, 1, 10, 8, 0, 0, 0, 2, 0, 0, 2, 2, 1]"
58,20,20,24,0.8333333333333334,0,0,1.05,0.01647214993454059,0.07167085999327975,True,18,"[0, 0, 0, 0, 0, 2, 0, 6, 7, 0, 0, 0, 0, 0, 0, 2, 3, 1]"
59,19,19,24,0.7916666666666666,0,0,1.5789473684210527,0.011820073913496527,0.016471994426127526,True,18,"[0, 0, 0, 0, 0, 2, 0, 9, 6, 0, 0, 0, 1, 0, 0, 7, 3, 2]"
60,21,21,24,0.875,0,0,1.2380952380952381,0.016015831358693593,0.07902346054028202,True,18,"[0, 0, 0, 0, 0, 6, 0, 7, 4, 0, 0, 0, 2, 0, 0, 4, 2, 1]"
61,18,18,24,0.75,0,0,1.4444444444444444,0.012708888861618072,0.023188788632996518,True,18,"[0, 0, 0, 0, 0, 2, 0, 9, 7, 0, 0, 0, 4, 0, 0, 2, 1, 1]"
