generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile
161,0,False,0.7393477971666668,[-1898.5656884395457],[0.0],[0.0],0.0,-2175.388920616815,-1308.6296586578706,250.91138518355862,24,0.0,24,True,0.75
162,0,False,0.7465173076024844,[-1876.7972027619567],[0.0],[0.0],0.0,-2152.1555872834815,-1285.396325324537,251.407408941582,24,0.0,23,True,0.75
163,0,False,0.7462086964223602,[-1853.5638694286235],[0.0],[0.0],0.0,-2128.9222539501484,-1262.1629919912039,251.39418439192335,24,0.0,23,True,0.75
164,0,False,0.7455095733571429,[-1831.0065772808512],[0.0],[0.0],0.0,-2105.6889206168153,-1238.9296586578707,251.69529894257525,24,0.0,24,True,0.75
165,0,False,0.735510502452381,[-1807.7732439475171],[0.0],[0.0],0.0,-2082.4555872834812,-1215.6963253245367,220.75181339919234,24,0.0,24,True,0.75
166,0,False,0.7314996314285714,[-1785.2159517997452],[0.0],[0.0],0.0,-2059.2222539501486,-1192.462991991204,173.6039897000229,24,0.0,24,True,0.75
167,0,False,0.7227039469047618,[-1761.3065772808513],[0.0],[0.0],0.0,-2035.9889206168154,-1169.229658657871,176.94990945800137,24,0.0,24,True,0.75
168,0,False,0.7213163994047619,[-1738.0732439475178],[0.0],[0.0],0.0,-2027.4675949487669,-1145.9963253245373,176.90881377443648,24,0.0,24,True,0.75
169,0,False,0.7209329755952382,[-1714.8399106141842],[0.0],[0.0],0.0,-2004.2342616154333,-1122.7629919912038,176.90154538991274,24,0.0,24,True,0.75
170,0,False,0.7200073851190476,[-1691.606577280851],[0.0],[0.0],0.0,-1981.0009282821002,-1099.5296586578706,172.6741389587295,24,0.0,24,True,0.75
171,0,False,0.7199819244047617,[-1668.3732439475177],[0.0],[0.0],0.0,-1957.7675949487668,-1076.2963253245373,172.67030241169752,24,0.0,24,True,0.75
172,0,False,0.7157209283229812,[-1651.802459399952],[0.0],[0.0],0.0,-1934.5342616154333,-1053.0629919912037,172.68767396420614,24,0.0,23,True,0.75
173,0,False,0.7153307867080744,[-1628.569126066619],[0.0],[0.0],0.0,-1911.3009282821001,-1029.8296586578706,172.86677972576507,24,0.0,23,True,0.75
174,0,False,0.7131826896428569,[-1608.3290465333894],[0.0],[0.0],0.0,-1864.7129990979324,-1006.5963253245372,171.49481018410705,24,0.0,24,True,0.75
175,0,False,0.7233579813605441,[-1573.562117452414],[0.0],[0.0],0.0,-1841.4796657645988,-983.3629919912037,172.77212217518743,24,0.0,21,True,0.75
176,0,False,0.7231659296598638,[-1550.3287841190809],[0.0],[0.0],0.0,-1804.7313859033052,-960.1296586578706,207.66294893561894,24,0.0,21,True,0.75
177,0,False,0.7231659296598638,[-1527.0954507857475],[0.0],[0.0],0.0,-1781.4980525699718,-936.8963253245372,207.66294893561894,24,0.0,21,True,0.75
178,0,False,0.7251050562337661,[-1504.237783216308],[0.0],[0.0],0.0,-1758.2647192366385,-913.6629919912039,165.75649907528023,24,0.0,22,True,0.75
179,0,False,0.7251050562337661,[-1481.0044498829743],[0.0],[0.0],0.0,-1735.0313859033051,-890.4296586578705,165.75649907528023,24,0.0,22,True,0.75
180,0,False,0.7261632110714284,[-1457.3578681870197],[0.0],[0.0],0.0,-1711.798052569972,-867.1963253245374,170.38299122316974,24,0.0,24,True,0.75
181,0,False,0.7108788965714287,[-1434.04936965623],[0.0],[0.0],0.0,-1688.5647192366384,-843.9629919912038,212.8997169973296,24,0.0,18,True,0.75
182,0,False,0.7108788965714287,[-1410.8160363228967],[0.0],[0.0],0.0,-1665.331385903305,-820.7296586578705,213.83315322431383,24,0.0,18,True,0.75
183,0,False,0.7131131095338347,[-1387.6202855882916],[0.0],[0.0],0.0,-1642.098052569972,-797.4963253245373,217.06762970300707,24,0.0,19,True,0.75
184,0,False,0.7136344012,[-1364.424534853686],[0.0],[0.0],0.0,-1618.8647192366384,-774.2629919912038,218.01629169863799,24,0.0,20,True,0.75
185,0,False,0.7201236322337663,[-1341.3415144316243],[0.0],[0.0],0.0,-1595.631385903305,-751.0296586578704,218.31850633245972,24,0.0,22,True,0.75
