generation,mu,mean_sigma,min_sigma,max_sigma,mean_psucc,min_psucc,max_psucc,gens_silent,sigma_floor_active,archive_size,n_pitot3_sentinels,n_spark_sentinels,n_both_sentinels,n_sentinels,lineage_0,lineage_1,lineage_2,lineage_3,lineage_4,lineage_5,lineage_6,lineage_7,lineage_8,lineage_9,lineage_10,lineage_11,lineage_12,lineage_13,lineage_14,lineage_15,lineage_16,lineage_17,lineage_18,lineage_19,lineage_20,lineage_21,lineage_22,lineage_23,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,psucc_0,psucc_1,psucc_2,psucc_3,psucc_4,psucc_5,psucc_6,psucc_7,psucc_8,psucc_9,psucc_10,psucc_11,psucc_12,psucc_13,psucc_14,psucc_15,psucc_16,psucc_17,psucc_18,psucc_19,psucc_20,psucc_21,psucc_22,psucc_23
429,24,0.0002136423292774222,1.2867935492379327e-05,0.0012521096466303282,0.04030182562427674,0.0025452654069299772,0.11399816489345291,105,False,48,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,9992,10137,10042,10235,9733,9279,10214,9496,9306,9929,9931,9643,10220,9789,9838,10151,1.5189084938293434e-05,0.0001643481738207495,9.55764165374494e-05,0.0001276921814426751,3.44138898132591e-05,2.5872221578510998e-05,0.00015720541889555355,0.00012185631500454047,4.467013736465238e-05,0.00012485023181138842,0.00010043661992971577,0.00023990591631465181,0.00021929851672961487,0.00012527929351458233,9.51474661286957e-05,0.00022897697073872626,0.0002920295611014265,0.0002920295611014265,0.0012521096466303282,0.0012521096466303282,4.0159883634146925e-05,4.671679318512397e-05,1.8674020319914484e-05,1.2867935492379327e-05,0.0043350585499850585,0.11399816489345291,0.0025452654069299772,0.007263681588509888,0.0337251859834161,0.027695880324830616,0.036309058777233956,0.02118167741162587,0.038763050929300845,0.09660480409067639,0.07043263652579544,0.08410273403562363,0.019914848233154505,0.004675003238196981,0.08652818237286922,0.007065662095661557,0.0256077315899421,0.0256077315899421,0.04704340693145741,0.04704340693145741,0.07043014824209831,0.02543457555066195,0.02552495050999943,0.0454109691798202
430,24,0.0002045880679272358,1.2328360215299545e-05,0.0012001551022063585,0.036943340155587014,0.002333159956352479,0.1044983178189985,106,False,49,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,9992,10137,10042,10235,9733,9279,10214,9496,9306,9929,9931,9643,10220,9789,9838,10151,1.438571551276287e-05,0.00016051087134661524,9.047589441015379e-05,0.00012103762928038125,3.28631140642961e-05,2.46646667261775e-05,0.00015023003613398014,0.00011595705188363495,4.2717424218948494e-05,0.00012134255853040212,9.690188631321969e-05,0.00023235069074548632,0.00020860788420530894,0.00011866441546423733,9.221366320098787e-05,0.00021703202387145896,0.0002782366510018776,0.0002782366510018776,0.0012001551022063585,0.0012001551022063585,3.8746482794467326e-05,4.450814373897992e-05,1.7791611180387905e-05,1.2328360215299545e-05,0.0039738036708196365,0.1044983178189985,0.002333159956352479,0.006658374789467397,0.030914753818131427,0.0253878902977614,0.03328330387913112,0.019416537627323715,0.03553279668519244,0.08855440374978668,0.06456325014864582,0.07709417286598833,0.018255277547058295,0.004285419635013899,0.07931750050846345,0.006476856921023094,0.023473753957446924,0.023473753957446924,0.04312312302050262,0.04312312302050262,0.06456096922192345,0.023315027588106788,0.02339787130083281,0.04162672174816852
431,24,0.00019576974911487003,1.1798897533379837e-05,0.0011490938922863385,0.03733695069817699,0.0021387299599897724,0.11590506362809308,107,False,48,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10042,10235,9733,9279,10214,9496,9306,9929,9931,9643,10220,9789,9838,10151,1.362345872953482e-05,0.0001563465978333602,8.564247817150276e-05,0.00011471042266668903,3.13575263660934e-05,2.349827765150692e-05,0.00014344254115101598,0.00011028884115121462,4.186569593732993e-05,0.0001176678099960796,9.333798176339414e-05,0.00022459208013380326,0.00019834619234334092,0.0001123865456798075,8.919000656484401e-05,0.00020567628118094012,0.00026493679370517717,0.00026493679370517717,0.0011490938922863385,0.0011490938922863385,3.732142202360186e-05,4.237874709310271e-05,1.694080280330869e-05,1.1798897533379837e-05,0.003642653364918,0.0957901246674153,0.0021387299599897724,0.006103510223678447,0.02833852433328714,0.02327223277294795,0.03050969522253686,0.01779849282504674,0.11590506362809308,0.08117487010397112,0.059182979302925334,0.0706696584604893,0.01673400441813677,0.003928301332096073,0.07270770879942483,0.005937118844271169,0.021517607794326345,0.021517607794326345,0.03952952943546073,0.03952952943546073,0.05918088845342982,0.021372108622431222,0.021448048692430076,0.038157828269154474
432,24,0.00018834073198001916,1.128120726322155e-05,0.0011274439144131581,0.03769776036221779,0.001960502463323958,0.119568735315839,108,False,48,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10042,10235,9733,9279,10214,9496,9306,9929,9931,10387,10220,9789,9838,10151,1.2900395090277572e-05,0.00015191936285345082,8.106285871610532e-05,0.00010869707462456889,2.9899332894712155e-05,2.2373784787127168e-05,0.00013685535005121974,0.00010485017468769522,4.0910034411716714e-05,0.00011386874314873594,8.976976952972473e-05,0.00021670224574895288,0.00018850894611289473,0.000106430156498345,8.610593447077263e-05,0.00019488523944273878,0.0002521344936785209,0.0002521344936785209,0.0010990982653880145,0.0011274439144131581,3.5894642547681815e-05,4.0329273810017045e-05,1.6121873672286555e-05,1.128120726322155e-05,0.0033390989178415,0.08780761427846402,0.001960502463323958,0.005594884371705243,0.025976980638846545,0.02133288004186895,0.02796722062065879,0.016315285089626177,0.10624630832575199,0.07441029759530686,0.054251064361014886,0.06478052025544852,0.015339504049958704,0.0036009428877547336,0.06664873306613943,0.005442358940581905,0.019724473811465817,0.019724473811465817,0.03623540198250567,0.119568735315839,0.054249147748977336,0.019591099570561953,0.019660711301394237,0.034978009246724936
433,24,0.00018096544423915365,1.0776628839481495e-05,0.0011028390499436156,0.03455628033203297,0.0017971272580469613,0.10960467403951908,109,False,48,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10042,10235,9733,9279,10214,9496,9306,9929,9931,10387,10220,9789,9838,10151,1.2214669401339535e-05,0.0001472878122898764,7.672429823052813e-05,0.00010298428579578362,2.849009757054219e-05,2.1291535036949312e-05,0.00013047770702440963,9.963830294289188e-05,3.986818436557273e-05,0.00010998374990875043,8.62187819628614e-05,0.00020874496844890556,0.00017908962720144796,0.00010078020973424059,8.298754989404912e-05,0.00018463477387427898,0.0002398303440711016,0.0002398303440711016,0.0010503083597522157,0.0011028390499436156,3.447475374274347e-05,3.835977439876707e-05,1.5334853238234104e-05,1.0776628839481495e-05,0.0030608406746880415,0.08049031308859202,0.0017971272580469613,0.005128644007396472,0.023812232252275998,0.01955514003837987,0.025636618902270557,0.014955677998823995,0.097392449298606,0.06820943946236462,0.04973014233093031,0.05938214356749447,0.014061212045795479,0.0033008643137751722,0.06109467197729447,0.004988829028866746,0.01808076766051033,0.01808076766051033,0.033215785150630193,0.10960467403951908,0.04972838543656256,0.01795850793968179,0.018022318692944718,0.03206317514283119
434,24,0.00017394596368765504,1.028621752966744e-05,0.0010757646500667978,0.03862103474880801,0.0016473666532097146,0.12891929713668612,110,False,49,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10426,10235,10428,9279,10214,9496,9306,9929,9931,10387,10220,9789,9838,10151,1.1564492387789548e-05,0.00014250509653504566,7.261461865069802e-05,9.755900272669546e-05,2.713082804394703e-05,2.0251548746472974e-05,0.00012431609264025318,9.464945101047083e-05,3.875663510128838e-05,0.00010604696159960342,8.483638286789404e-05,0.00020077606915324146,0.000174466411677889,9.542217525346137e-05,7.985777218830205e-05,0.00017490123741989644,0.00022802163326654987,0.00022802163326654987,0.0010028357499857776,0.0010757646500667978,3.306913193842206e-05,3.6469775838249845e-05,1.4579560608757598e-05,1.028621752966744e-05,0.0028057706184640378,0.07378278699787601,0.0016473666532097146,0.004701257006780099,0.02182787956458633,0.017925545035181546,0.02350023399374801,0.013709371498921994,0.0892764118570555,0.06252531950716757,0.12891929713668612,0.0544336316035366,0.09622277770864586,0.0030257922876272413,0.05600344931251993,0.004573093276461183,0.01657403702213447,0.01657403702213447,0.030447803054744343,0.10047095120289248,0.045584353316849006,0.016461965611374973,0.016520458801865992,0.02939124388092859
435,24,0.00016699559342320814,9.810778315313345e-06,0.0010466737981613635,0.03540261518640733,0.0015100860987755716,0.1181760223752956,111,False,49,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10426,10235,10428,9279,10214,9496,9306,9929,9931,10387,10220,9789,9838,10151,1.0948141574391429e-05,0.00013761889312629793,6.872218824120798e-05,9.240846461597078e-05,2.5822053648224346e-05,1.9253570590653594e-05,0.00011837459642161136,8.987900844620357e-05,3.7590526943491714e-05,0.00010208842538282196,8.3202573484531e-05,0.00019284390988968115,0.00016954662650426705,9.034204285192144e-05,7.673652496293078e-05,0.00016566153995593389,0.00021670288388505964,0.00021670288388505964,0.0009567667815890416,0.0010466737981613635,3.168402344545969e-05,3.4658367313864504e-05,1.3855638921693413e-05,9.810778315313345e-06,0.002571956400258701,0.06763422141471967,0.0015100860987755716,0.004309485589548424,0.020008889600870803,0.016431749615583083,0.021541881160935673,0.012566923874011827,0.08183671086896753,0.0573148762149036,0.1181760223752956,0.049897495636575216,0.08820421289959203,0.002773642930324971,0.05133649520314327,0.004192002170089418,0.015192867270289932,0.015192867270289932,0.027910486133515648,0.09209837193598477,0.04178565720711159,0.015090135143760392,0.015143753901710492,0.026941973557517873
436,24,0.00019156632324911107,9.350897248188764e-06,0.001015984243807299,0.04335480630801048,0.001384245590544274,0.10891794562238935,112,False,53,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10426,10235,10428,9279,10214,9496,9306,10482,9931,10387,10220,10485,9838,10151,1.0363961552799339e-05,0.0001326715479641691,6.50359067168963e-05,8.752024012125933e-05,2.4563895581305847e-05,1.8297114769664168e-05,0.00011265525424122701,8.532169518980787e-05,3.6383609203501244e-05,9.813433152897926e-05,8.135505344991071e-05,0.0001849899442133238,0.00016439593609937067,8.552632849741793e-05,7.364094706458217e-05,0.000156893210216429,0.00020586632917524858,0.0009356903435341232,0.0009356903435341232,0.001015984243807299,3.0324648361050784e-05,3.3773390188110626e-05,1.3162585719878202e-05,9.350897248188764e-06,0.0023576267002371424,0.06199803629682636,0.001384245590544274,0.003950361790419388,0.01834148213413157,0.015062437147617826,0.019746724397524368,0.011519680217844174,0.07501698496322023,0.0525386365303283,0.10832802051068763,0.04573937100019394,0.08085386182462602,0.0025425060194645566,0.04705845393621466,0.003842668655915299,0.01392679499776577,0.10891794562238935,0.10891794562238935,0.08442350760798605,0.038303519106518955,0.0971659572151137,0.013881774409901284,0.024696809094391384
437,24,0.00018524502369476436,8.906970200366283e-06,0.0009840768204033821,0.043214128004565165,0.001268891791332251,0.18263401880146368,113,False,53,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10498,10235,10428,9279,10214,9496,9306,10482,9931,10387,10220,10485,9838,10151,9.810363738465679e-06,0.00012770030415203392,6.154518926473248e-05,8.288225563430917e-05,2.3356129693449703e-05,1.7381504933934652e-05,0.00010715835178119919,8.097170588261628e-05,3.514823919136477e-05,9.42072740039806e-05,8.137533645222578e-05,0.0001772492920713934,0.00015907388422506123,8.096207585643898e-05,7.058561610334071e-05,0.00014857444290839865,0.0001955023319004947,0.0009125438566624524,0.0009125438566624524,0.0009840768204033821,2.899530254040803e-05,3.282968475751732e-05,1.2499779654326165e-05,8.906970200366283e-06,0.0021611578085507137,0.05683153327209083,0.001268891791332251,0.0036211649745511057,0.016813025289620604,0.013807234051983006,0.018101164031064,0.01055970686635716,0.06876556954961854,0.04816041681946761,0.18263401880146368,0.04192775675017778,0.07411604000590719,0.00233063051784251,0.04313691610819677,0.0035224462679223573,0.012766228747951955,0.0998414501538569,0.0998414501538569,0.07738821530732054,0.03511155918097571,0.08906879411385422,0.012724959875742844,0.022638741669858766
438,24,0.00017882439243804574,8.479229010470518e-06,0.0009512950566910264,0.0396129506708514,0.0011631508087212301,0.16741451723467504,114,False,53,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10498,10235,10428,9279,10214,9496,9306,10482,9931,10387,10220,10485,9838,10151,9.285825706806331e-06,0.00012273759232930975,5.82399497697839e-05,7.848281626444366e-05,2.2198242333774036e-05,1.6505909272204207e-05,0.00010188269577426905,7.682283476854733e-05,3.3895412948373765e-05,9.032653018575865e-05,8.101798081242348e-05,0.00016965131967053634,0.0001536339113236708,7.663685390487335e-05,6.758277622019422e-05,0.00014068413318663232,0.00018559975081992516,0.0008877102915115228,0.0008877102915115228,0.0009512950566910264,2.769945582203022e-05,3.18400548326463e-05,1.1866503842352366e-05,8.479229010470518e-06,0.0019810613245048207,0.05209557216608326,0.0011631508087212301,0.0033194012266718467,0.015411939848818886,0.012656631214317756,0.016592733695142,0.00967973129416073,0.06303510542048366,0.04414704875117864,0.16741451723467504,0.0384337770209963,0.06793970333874826,0.0021364113080223008,0.03954217309918037,0.0032289090789288273,0.011702376352289292,0.09152132930770215,0.09152132930770215,0.07093919736504382,0.0321855959158944,0.08164639460436637,0.011664546552764273,0.020752179864037202
439,24,0.00017235110437287268,8.067765089936136e-06,0.0009179457215104229,0.03631187144828045,0.0010662215746611275,0.15346330746511877,115,False,56,0,0,0,0,9288,10129,9100,9508,9916,9989,9966,9895,10352,10137,10498,10235,10428,9279,10214,9496,9306,10482,9931,10387,10220,10485,9838,10151,8.788890185886263e-06,0.00011781136092569443,5.5110583501904224e-05,7.431062061791147e-05,2.1089479752652516e-05,1.5669371194739075e-05,9.682585505498444e-05,7.28685832367571e-05,3.263481960833104e-05,8.650834848544546e-05,8.03190739194997e-05,0.00016222020959391831,0.00014812350592930806,7.253875131372021e-05,6.464256373491436e-05,0.00013320190038941608,0.00017614625973672688,0.0008615424526159201,0.0008615424526159201,0.0009179457215104229,2.6439845169173073e-05,3.081612456699369e-05,1.1261966198768822e-05,8.067765089936136e-06,0.0018159728807960855,0.047754274485576315,0.0010662215746611275,0.003042784457782526,0.01412761152808398,0.011601911946457943,0.015210005887213501,0.008873087019647334,0.05778217996877668,0.040468128021913755,0.15346330746511877,0.0352309622692466,0.062278061393852564,0.0019583770323537758,0.036246992007582,0.002959833322351425,0.01072717832293185,0.08389455186539364,0.08389455186539364,0.06502759758462351,0.0295034629229032,0.07484252838733584,0.010692501006700583,0.019022831542034102
440,24,0.00016596567891024097,7.672550596745355e-06,0.0008843000736071565,0.036758104383145966,0.0009773697767727003,0.1406746985096922,116,False,54,0,0,0,0,9288,10129,9100,9508,9916,9989,10566,9895,10352,10137,10498,10235,10428,9279,10214,9496,9306,10482,9931,10387,10220,10485,9838,10151,8.318163772100347e-06,0.00011294542890873119,5.214794947892532e-05,7.03547703242061e-05,2.002889157707632e-05,1.4870836032196802e-05,9.435664265015575e-05,6.910225192088285e-05,3.137491252992313e-05,8.276623520985048e-05,7.931565357653586e-05,0.00015497551034813787,0.00014258445536920484,6.865636820588599e-05,6.177322595260398e-05,0.000126108102696622,0.0001671286238729349,0.0008343617149398248,0.0008343617149398248,0.0008843000736071565,2.5218561854443834e-05,2.9768338437378583e-05,1.0685317044436186e-05,7.672550596745355e-06,0.0016646418073964116,0.04377475161177829,0.0009773697767727003,0.002789219086300649,0.012950310567410315,0.010635085950919781,0.09727583872994572,0.00813366310134339,0.05296699830471195,0.037095784020087605,0.1406746985096922,0.032295048746809385,0.05708822294436485,0.0017951789463242945,0.0332264093402835,0.002713180545488806,0.009833246796020862,0.07690333920994417,0.07690333920994417,0.05960863111923821,0.027044841012661264,0.06860565102172451,0.009801459256142201,0.017437595580197925
