generation,n_arnold_calls,n_infeasible,n_lambda,infeasibility_rate,n_psd_fallback,n_no_active_js,mean_m_active,mean_A_delta_fro,max_A_delta_fro,any_shrink_applied,n_constraints,per_constraint_violation_count
489,2,2,24,0.08333333333333333,0,0,1.0,0.04041492995794668,0.06197699790648145,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
490,1,1,24,0.041666666666666664,0,0,1.0,0.018107291504511663,0.018107291504511663,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
491,3,3,24,0.125,0,0,1.0,0.015665766748563608,0.01888768570362456,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
492,3,3,24,0.125,0,0,1.0,0.015290591932436511,0.019008158648599328,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0]"
493,1,1,24,0.041666666666666664,0,0,1.0,0.019823768791971154,0.019823768791971154,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
494,2,2,24,0.08333333333333333,0,0,1.0,0.01772134459380329,0.01933651507197989,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
495,1,1,24,0.041666666666666664,0,0,1.0,0.019507838688555434,0.019507838688555434,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
496,1,1,24,0.041666666666666664,0,0,1.0,0.019008671775382475,0.019008671775382475,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
497,1,1,24,0.041666666666666664,0,0,1.0,0.019528161406684553,0.019528161406684553,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
498,1,1,24,0.041666666666666664,0,0,1.0,0.020877573260682528,0.020877573260682528,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
499,1,1,24,0.041666666666666664,0,0,1.0,0.020196604219798953,0.020196604219798953,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
500,1,1,24,0.041666666666666664,0,0,1.0,0.01992943294340654,0.01992943294340654,True,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
