generation,mu,mean_sigma,min_sigma,max_sigma,mean_psucc,min_psucc,max_psucc,gens_silent,sigma_floor_active,archive_size,n_pitot3_sentinels,n_spark_sentinels,n_both_sentinels,n_sentinels,lineage_0,lineage_1,lineage_2,lineage_3,lineage_4,lineage_5,lineage_6,lineage_7,lineage_8,lineage_9,lineage_10,lineage_11,lineage_12,lineage_13,lineage_14,lineage_15,lineage_16,lineage_17,lineage_18,lineage_19,lineage_20,lineage_21,lineage_22,lineage_23,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10,sigma_11,sigma_12,sigma_13,sigma_14,sigma_15,sigma_16,sigma_17,sigma_18,sigma_19,sigma_20,sigma_21,sigma_22,sigma_23,psucc_0,psucc_1,psucc_2,psucc_3,psucc_4,psucc_5,psucc_6,psucc_7,psucc_8,psucc_9,psucc_10,psucc_11,psucc_12,psucc_13,psucc_14,psucc_15,psucc_16,psucc_17,psucc_18,psucc_19,psucc_20,psucc_21,psucc_22,psucc_23
415,24,0.0013951304138173463,0.00023835252318048865,0.004397599328373661,0.10505095556549854,0.013037984327338164,0.23048001008319227,1,False,48,0,0,0,0,9840,8753,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,9854,9831,9307,8969,9834,9477,9692,9718,9767,0.0017656856965812696,0.0017656856965812696,0.0015593472155534095,0.001314257908730084,0.001314257908730084,0.0008224276559953646,0.002270642156835033,0.0023842072813708157,0.0009280785170988036,0.0009280785170988036,0.0025305879219530733,0.0028654444970090216,0.0028654444970090216,0.000265052986526902,0.0006817471944756536,0.0008688475690150963,0.00200568723145133,0.004397599328373661,0.0003866939275656697,0.00044452766963525817,0.00031675009913649196,0.00031675009913649196,0.0002469758325732128,0.00023835252318048865,0.11833651800375232,0.11833651800375232,0.06440086396139977,0.14833329152129182,0.14833329152129182,0.10598295808004746,0.09308983650378023,0.16947872539266912,0.07829031872344996,0.07829031872344996,0.17654435604083976,0.23048001008319227,0.23048001008319227,0.02138715333280833,0.013037984327338164,0.12270478950936659,0.14653391160873216,0.0617190945568582,0.08256620586058822,0.132007222066078,0.05101854529253015,0.05101854529253015,0.034139331988817356,0.04471313309420835
416,24,0.0013688728387875042,0.00022831335043962784,0.004232489230268621,0.09629670926837365,0.011951485633393317,0.21127334257625957,2,False,48,0,0,0,0,9840,8753,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,9854,9831,9307,8969,9834,9477,9692,9718,9767,0.0017265561126956247,0.0017265561126956247,0.001501928473718188,0.0012959754813105923,0.0012959754813105923,0.0008014238903114207,0.002204676746789066,0.0023650067411872607,0.0008973888968960609,0.0008973888968960609,0.002515181245593542,0.002891350440521538,0.002891350440521538,0.00025223585512295054,0.0006472646119514142,0.0008506330587627333,0.001976789904144732,0.004232489230268621,0.00037435484176187307,0.0004363440298213176,0.0003039452216555501,0.0003039452216555501,0.00023587384486862387,0.00022831335043962784,0.10847514150343962,0.10847514150343962,0.05903412529794978,0.13597218389451748,0.13597218389451748,0.09715104490671017,0.08533235012846521,0.15535549827661335,0.0717661254964958,0.0717661254964958,0.16183232637076977,0.21127334257625957,0.21127334257625957,0.0196048905550743,0.011951485633393317,0.11247939038358604,0.13432275230800447,0.05657583667712002,0.0756856887055392,0.12100662022723817,0.04676699985148597,0.04676699985148597,0.03129438765641591,0.04098703866969099
417,24,0.0013402653234372188,0.0002184688933368288,0.004067714149735411,0.0917442057182314,0.010955528497277206,0.1936672306949046,3,False,46,0,0,0,0,9840,8753,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,10023,9831,9307,8969,9834,9477,9692,9718,9767,0.001683636885222634,0.001683636885222634,0.0014444511135171716,0.0012735304491426418,0.0012735304491426418,0.000779027027946254,0.0021359815890031387,0.0023366989799243954,0.0008661299244437983,0.0008661299244437983,0.0024895882792358554,0.0029018376715658936,0.0029018376715658936,0.00023991872301805075,0.0006143391645224933,0.0008518350448598959,0.0019416565896511909,0.004067714149735411,0.0003617117296273539,0.00042699337327821457,0.00029131088432558946,0.00029131088432558946,0.00022509147543587864,0.0002184688933368288,0.09943554637815298,0.09943554637815298,0.05411461485645397,0.12464116856997436,0.12464116856997436,0.08905512449781765,0.0782213209510931,0.14240920675356222,0.06578561503845448,0.06578561503845448,0.14834629917320563,0.1936672306949046,0.1936672306949046,0.017971149675484775,0.010955528497277206,0.18643944118495387,0.12312918961567076,0.05186118362069335,0.0693785479800776,0.11092273520830165,0.04286974986386213,0.04286974986386213,0.028686522018381247,0.0375714521138834
418,24,0.0013087980770947428,0.00020884901396738095,0.0039041948807392165,0.08409885524171212,0.010042567789170773,0.17752829480366256,4,False,46,0,0,0,0,9840,8753,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,10023,9831,9307,8969,9834,9477,9692,9718,9767,0.0016376329411097346,0.0016376329411097346,0.0013872605072903013,0.0012475085938209154,0.0012475085938209154,0.0007555408618688622,0.002065309220334407,0.002300373381264124,0.0008345606623013254,0.0008345606623013254,0.0024549649669955544,0.002898036438069658,0.002898036438069658,0.00022809865716850178,0.0005829259528172164,0.000848998695377805,0.001901177705748799,0.0039041948807392165,0.0003488787460845249,0.00041666459715163746,0.000278897120964176,0.000278897120964176,0.0002146451509338808,0.00020884901396738095,0.09114925084664023,0.09114925084664023,0.049605063618416136,0.11425440452247648,0.11425440452247648,0.08163386412299951,0.071702877538502,0.13054177285743204,0.06030348045191661,0.06030348045191661,0.1359841075754385,0.17752829480366256,0.17752829480366256,0.016473553869194375,0.010042567789170773,0.17090282108620772,0.11286842381436486,0.0475394183189689,0.06359700231507114,0.10167917394094317,0.039297270708540284,0.039297270708540284,0.026295978516849474,0.034440497771059786
419,24,0.0012753715818710654,0.00019947771831324538,0.003742715692430423,0.080562839527125,0.009205687140073207,0.1765392427791979,5,False,42,0,0,0,0,9840,8753,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,10023,9831,9307,8969,10075,9477,9692,9718,9767,0.0015891933255505499,0.0015891933255505499,0.0013306524684222104,0.0012184684414942829,0.0012184684414942829,0.0007312411904329911,0.0019933324736527524,0.0022570974585737315,0.0008029082401144365,0.0008029082401144365,0.002412455423533285,0.0028811865969881876,0.0028811865969881876,0.0002167699834156343,0.0005529775815299,0.0008424975113513884,0.0018562003823623689,0.003742715692430423,0.00033595657922492144,0.0004159930550909631,0.0002667453053620317,0.0002667453053620317,0.00020454662755278063,0.00019947771831324538,0.08355347994275354,0.08355347994275354,0.045471308316881454,0.10473320414560344,0.10473320414560344,0.07483104211274955,0.06572763774362683,0.11966329178597937,0.05527819041425689,0.05527819041425689,0.12465209861081862,0.16273427023669068,0.16273427023669068,0.015100757713428175,0.009205687140073207,0.15666091932902373,0.10346272182983446,0.04357780012572149,0.058297252122148535,0.1765392427791979,0.036022498149495256,0.036022498149495256,0.024104646973778683,0.03157045629013813
420,24,0.0012054138206275759,0.00019037382474645524,0.003742715692430423,0.07810535317519873,0.01384236123730916,0.16182763921426474,0,False,40,0,0,0,0,9840,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9850,9443,9181,10094,10023,9831,9307,8969,10075,9477,9692,9718,9767,0.0015389089638777145,0.0012748774046609692,0.0011869347378907695,0.0011869347378907695,0.0007063758181865671,0.0019206470162868338,0.0022078979820465533,0.000771369797515908,0.000771369797515908,0.0023631693208764856,0.002852589933558944,0.002852589933558944,0.00020592476052898675,0.000537970277932306,0.000537970277932306,0.0008327177222029764,0.001807518987089775,0.003742715692430423,0.00032303316502499646,0.00041345982208020526,0.00025488905447091346,0.00025488905447091346,0.0001948036122851937,0.00019037382474645524,0.07659068994752408,0.041682032623808,0.09600543713346982,0.09600543713346982,0.06859512193668708,0.060250334598324594,0.10969135080381442,0.050671674546402146,0.050671674546402146,0.11426442372658373,0.14917308105029978,0.14917308105029978,0.01384236123730916,0.09177187987840045,0.09177187987840045,0.14360584271827176,0.09484082834401492,0.04357780012572149,0.053439147778636155,0.16182763921426474,0.033020623303703985,0.033020623303703985,0.022095926392630458,0.02893958493262662
421,24,0.0011247718649421126,0.00018155158816858324,0.003742715692430423,0.0759200858897488,0.012688831134200062,0.15354146578523042,0,False,41,0,0,0,0,10104,9840,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9443,9181,10094,10023,9831,9307,8969,10075,9477,9692,9718,9767,0.0015256699005509746,0.0015256699005509746,0.0012201444993320003,0.0011533941031832504,0.0011533941031832504,0.0006811651898235004,0.0018477750392244707,0.002153746971787035,0.0007401146431158681,0.0007401146431158681,0.002308164716680849,0.00281356974698184,0.0001955531968798944,0.0005221486833679758,0.0005221486833679758,0.0008200473586785921,0.0017558689060349884,0.003742715692430423,0.0003101845211570691,0.0004092521671857152,0.0002433550885339101,0.0002433550885339101,0.00018542032674178426,0.00018155158816858324,0.15354146578523042,0.15354146578523042,0.03820852990515733,0.088004984039014,0.088004984039014,0.06287886177529649,0.05522947338179754,0.10055040490349655,0.04644903500086863,0.04644903500086863,0.10474238841603507,0.13674199096277478,0.012688831134200062,0.08412422322186708,0.08412422322186708,0.13163868915841578,0.08693742598201366,0.04357780012572149,0.04898588546374981,0.148342002613076,0.030268904695061983,0.030268904695061983,0.020254599193244585,0.026527952854907732
422,24,0.0009659936546725002,0.0001730212766216825,0.0027654376731173005,0.08342260087337973,0.01856671592714087,0.22407967696979456,0,False,41,0,0,0,0,10128,9696,9964,9291,9893,9919,9943,9249,9848,9705,9825,9443,10140,9181,10094,10023,9831,10144,8969,10075,9477,9692,9718,9767,0.0015454989872249463,0.0011666258161102659,0.0011182925109575518,0.0011182925109575518,0.0006558034952090582,0.0018477750392244707,0.0020955519323666723,0.0007092865264081938,0.0007092865264081938,0.0022484356896680237,0.0027654376731173005,0.00019043175791688666,0.00019043175791688666,0.0005057079848151859,0.0005057079848151859,0.0008048674127967625,0.0017458154864904239,0.0017458154864904239,0.0002974756515312022,0.00040356011168503597,0.00023216403908780608,0.00023216403908780608,0.000176398015232489,0.0001730212766216825,0.22407967696979456,0.03502448574639422,0.08067123536909616,0.08067123536909616,0.05763895662735511,0.05522947338179754,0.09217120449487183,0.04257828208412958,0.04257828208412958,0.09601385604803214,0.12534682504921021,0.09496476187301674,0.09496476187301674,0.07711387128671149,0.07711387128671149,0.12066879839521447,0.16302597381684586,0.16302597381684586,0.04490372834177066,0.13598016906198634,0.027746495970473482,0.027746495970473482,0.01856671592714087,0.024317290116998753
423,24,0.0009656243513326163,0.0001647896991668341,0.0027094673738272857,0.09259795918837417,0.017019489599879128,0.205406370555645,0,False,43,0,0,0,0,10128,9696,9964,10155,9893,10156,9919,9943,9249,9848,9705,9825,9443,9181,10166,10023,9831,10144,10170,10075,9477,9692,9718,9767,0.001556678413917888,0.0011144602510289538,0.0010820342541758413,0.0011099398238304562,0.0006467196197753658,0.0006467196197753658,0.0018477750392244707,0.002034149686200234,0.0006790059417597922,0.0006790059417597922,0.0021849041049548917,0.0027094673738272857,0.0001849965682733997,0.0004888241758200119,0.0005014309089567508,0.0007875449435807736,0.0017286289608040883,0.0017286289608040883,0.0002923106150737442,0.00039657173086068216,0.00022133119935277486,0.00022133119935277486,0.0001677353997065313,0.0001647896991668341,0.205406370555645,0.03210577860086136,0.07394863242167148,0.1572819657550048,0.13616904357507553,0.13616904357507553,0.05522947338179754,0.08449027078696585,0.03903009191045211,0.03903009191045211,0.08801270137736279,0.11490125629510936,0.087051031716932,0.07068771534615219,0.15402104867948552,0.11061306519561326,0.14944047599877536,0.14944047599877536,0.12449508431328977,0.1246484883068208,0.025434287972934025,0.025434287972934025,0.017019489599879128,0.022290849273915524
424,24,0.0009350358593055722,0.00015686068530564146,0.002646874499491218,0.10409228651887215,0.0156011987998892,0.22451929462286171,0,False,43,0,0,0,0,10128,9696,9964,10155,10180,10156,9919,9943,9249,9848,9705,9825,9443,9181,10166,10190,9831,10144,10170,10195,9477,10197,9718,9767,0.00155975939705091,0.0010637572784337542,0.0010449820902409142,0.001097246389509138,0.0006519449945238307,0.0006355541091217035,0.0018477750392244707,0.001970303181982593,0.0006493724028263002,0.0006493724028263002,0.0021184148353887134,0.002646874499491218,0.0001793185922272226,0.0004716543538081388,0.0005080162277086892,0.0005080162277086892,0.0017051109823569366,0.0017051109823569366,0.00028632616054356113,0.0003984880301394272,0.00021086721432680717,0.00021630546151220088,0.00015942908471963682,0.00015686068530564146,0.18828917300934125,0.029430297050789582,0.06778624638653219,0.14417513527542106,0.20815495661048591,0.12482162327715257,0.05522947338179754,0.07744941488805203,0.03577758425124777,0.03577758425124777,0.08067830959591589,0.10532615160385024,0.07979677907385434,0.0647970724006395,0.22451929462286171,0.22451929462286171,0.1369871029988774,0.1369871029988774,0.11412049395384896,0.19759444761458575,0.02331476397518952,0.10664809730852287,0.0156011987998892,0.02043327850108923
