generation,n_infeasible_slots,n_infeasible_draws,n_redraws,n_unresolved,n_lambda,n_constraints,per_constraint_violation_count
63,17,79,79,0,24,18,"[0, 0, 0, 0, 0, 6, 0, 13, 32, 0, 0, 3, 26, 0, 0, 6, 19, 1]"
64,17,98,98,0,24,18,"[0, 0, 0, 0, 0, 8, 0, 24, 50, 0, 0, 2, 36, 0, 0, 12, 11, 0]"
65,16,75,75,0,24,18,"[0, 0, 0, 0, 0, 8, 0, 20, 27, 0, 0, 2, 25, 0, 0, 16, 9, 0]"
66,16,104,104,0,24,18,"[0, 0, 0, 0, 0, 14, 0, 23, 48, 0, 0, 3, 37, 0, 0, 9, 16, 1]"
67,15,57,57,0,24,18,"[0, 0, 0, 0, 0, 11, 0, 14, 17, 0, 0, 3, 12, 0, 0, 9, 9, 0]"
68,16,60,60,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 22, 18, 0, 0, 5, 17, 0, 0, 10, 7, 0]"
69,12,43,43,0,24,18,"[0, 0, 0, 0, 0, 4, 0, 11, 21, 0, 0, 1, 11, 0, 0, 2, 4, 0]"
70,15,52,52,0,24,18,"[0, 0, 0, 0, 0, 4, 0, 16, 18, 0, 0, 5, 15, 0, 0, 3, 7, 1]"
71,15,113,113,0,24,18,"[0, 0, 0, 0, 0, 7, 0, 27, 51, 0, 0, 8, 43, 0, 0, 27, 9, 0]"
72,14,65,65,0,24,18,"[0, 0, 0, 0, 0, 3, 0, 13, 27, 0, 0, 1, 15, 0, 0, 18, 11, 0]"
73,14,46,46,0,24,18,"[0, 0, 0, 0, 0, 5, 0, 13, 17, 0, 0, 1, 9, 0, 0, 11, 7, 0]"
74,14,28,28,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 8, 11, 0, 0, 1, 6, 0, 0, 5, 1, 0]"
75,18,34,34,0,24,18,"[0, 0, 0, 0, 0, 8, 0, 8, 10, 0, 0, 2, 7, 0, 0, 5, 2, 0]"
76,10,13,13,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 4, 4, 0, 0, 0, 5, 0, 0, 2, 2, 0]"
77,7,25,25,0,24,18,"[0, 0, 0, 0, 0, 2, 0, 2, 10, 0, 0, 0, 8, 0, 0, 5, 8, 0]"
78,13,39,39,0,24,18,"[0, 0, 0, 0, 0, 4, 0, 7, 15, 0, 0, 6, 13, 0, 0, 2, 7, 0]"
79,14,32,32,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 9, 16, 0, 0, 1, 8, 0, 0, 1, 7, 0]"
80,10,28,28,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 4, 17, 0, 0, 0, 7, 0, 0, 7, 9, 0]"
81,8,22,22,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 2, 7, 0, 0, 0, 8, 0, 0, 4, 6, 0]"
82,11,33,33,0,24,18,"[0, 0, 0, 0, 0, 4, 0, 3, 16, 0, 0, 0, 11, 0, 0, 7, 1, 0]"
83,8,22,22,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 2, 10, 0, 0, 0, 10, 0, 0, 2, 7, 0]"
84,9,27,27,0,24,18,"[0, 0, 0, 0, 0, 2, 0, 3, 13, 0, 0, 0, 5, 0, 0, 4, 3, 1]"
85,10,19,19,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 1, 10, 0, 0, 0, 6, 0, 0, 4, 1, 0]"
86,9,20,20,0,24,18,"[0, 0, 0, 0, 0, 3, 0, 3, 10, 0, 0, 0, 3, 0, 0, 5, 0, 0]"
87,11,38,38,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 1, 23, 0, 0, 2, 7, 0, 0, 5, 12, 0]"
88,9,19,19,0,24,18,"[0, 0, 0, 0, 0, 2, 0, 1, 9, 0, 0, 0, 5, 0, 0, 1, 6, 0]"
89,9,16,16,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 0, 0, 7, 0, 0, 5, 1, 0]"
90,7,18,18,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 6, 0, 0, 3, 5, 0]"
91,5,10,10,0,24,18,"[0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 2, 0, 0, 4, 0, 0]"
92,6,29,29,0,24,18,"[0, 0, 0, 0, 0, 3, 0, 0, 13, 0, 0, 0, 5, 0, 0, 1, 10, 0]"
93,9,16,16,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 11, 0, 0, 1, 0, 0]"
94,7,9,9,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 5, 0, 0, 0, 2, 0]"
95,5,17,17,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 9, 0, 0, 0, 6, 0]"
96,5,7,7,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
97,7,16,16,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 1, 12, 0, 0, 0, 1, 0, 0, 3, 0, 0]"
98,10,14,14,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 7, 0, 0, 4, 1, 0]"
99,6,9,9,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 5, 0, 0, 1, 2, 0]"
100,5,9,9,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 1, 0, 0]"
101,6,11,11,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 0, 0, 0, 1, 0]"
102,7,11,11,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 0, 0, 2, 3, 0]"
103,6,15,15,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 9, 0, 0, 2, 2, 0]"
104,6,17,17,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 4, 0, 0]"
105,6,7,7,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 0, 1, 1, 0]"
106,5,7,7,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 1, 1, 0]"
107,7,8,8,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 5, 0, 0, 0, 2, 0]"
108,6,13,13,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 4, 0]"
109,4,4,4,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
110,1,1,1,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
111,2,7,7,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 0, 0]"
112,1,2,2,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
113,1,1,1,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
114,3,3,3,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
115,2,3,3,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,3,7,7,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
117,3,3,3,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
118,0,0,0,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,3,3,3,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0]"
120,1,1,1,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
121,2,3,3,0,24,18,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
