generation,parent_slot,lineage_id,sigma,psucc,feasible,pitot3_sentinel,spark_sentinel,g_al,raw_pct_he,raw_driver_p,raw_p4,raw_d_throat,raw_reservoir_p,raw_buffer_length,scaled_pct_he,scaled_driver_p,scaled_p4,scaled_d_throat,scaled_reservoir_p,scaled_buffer_length,raw_delta_vs1,raw_hold_time,raw_impact_speed,scaled_delta_vs1,scaled_hold_time,scaled_impact_speed
60,10,,0.15949144147825087,0.4065659276964574,True,False,False,-2941.0899679421045,94.16889775393852,185880.04546226727,10245817.701897288,0.08022122806141269,5624491.8040150115,0.14176428334668922,1.8056299251312844,1.0675983638184343,1.0344389840274704,1.8634636588975053,1.6959979870022972,1.9176428334668922,643.9100320578955,0.0004937900000000009,18.23979,,0.9012419999999999,0.052113685714285714
60,11,,0.1785764974100594,0.2737645645250337,True,False,False,-3245.4887706088693,89.23553249865996,107796.33886991338,13249824.753422672,0.08439369739737457,4973167.317100173,0.07040151393006719,1.6411844166219989,1.0390483340230388,1.0920870998559322,1.982677068496416,1.6164781329950608,1.204015139300672,339.51122939113066,0.00040689999999999824,11.88645,,0.9186200000000003,0.033961285714285715
60,12,,0.12462890660767906,0.2816021984018937,True,False,False,-3003.5441821349164,81.97374465378151,100428.19660178841,11024244.7977797,0.07691346911443553,4698303.392172026,0.0605639248535546,1.399124821792717,1.0363542933521739,1.0809112220682402,1.7689562604124434,1.5820410662755593,1.105639248535546,581.4558178650836,0.0002339999999999981,6.475347999999999,,0.9532000000000004,0.018500994285714285
60,13,,0.15907539078079871,0.39081413099541507,True,False,False,-2149.936576870993,93.54680391449611,33567.48607506414,1048414.525631757,0.08327078122567125,5479431.869168574,0.10397549468034714,1.7848934638165368,1.0119077684498043,1.0141266117919416,1.9505937493048926,1.6836013954269247,1.5397549468034715,1435.0634231290069,0.00012501000000000179,2.897238,,0.9749979999999997,0.008277822857142857
60,14,,0.12756929523092447,0.2581353485350692,True,False,False,-3205.2309368890224,80.00100002291566,95144.67232182919,20104449.291694917,0.07664222767621616,4022073.6990947793,0.0762741862608699,1.3333666674305222,1.0344224591424451,1.167246872249451,1.7612065050347472,1.4967743069279391,1.262741862608699,379.76906311097764,0.000885900000000002,36.15457,,0.8228199999999997,0.10329877142857143
60,15,,0.1715170700117172,0.3518805460050564,True,False,False,-3138.2296496391527,98.9595196544101,155436.314068429,15537719.748588884,0.08421128125712932,5396277.705141055,0.09194446687134061,1.9653173218136701,1.0564671115212718,1.0725690830253285,1.9774651787751232,1.6680857726315033,1.4194446687134061,446.77035036084726,0.0008711300000000012,29.53754,,0.8257739999999998,0.08439297142857143
60,16,,0.12207907764241799,0.1968433244465403,True,False,False,-1979.8843747525086,80.9587068188179,190368.24566873262,3062775.7854117653,0.08414163070505068,4925617.841258507,0.09030839210135425,1.3652902272939302,1.0692394007929116,1.0012488758590932,1.9754751630014475,1.6063345551425747,1.4030839210135424,1605.1156252474914,0.00043572999999999876,23.72129,,0.9128540000000003,0.06777511428571428
60,17,,0.1934408717538408,0.39047221927005227,True,False,False,-3194.2758576630636,95.39881436699866,117302.22257870855,8642482.03239183,0.07372360478883064,5188402.106843479,0.0797920666705687,1.846627145566622,1.0425240048763003,1.0502181551856047,1.6778172796808755,1.643320348877273,1.297920666705687,390.72414233693644,0.00034482999999999736,17.26238,,0.9310340000000006,0.049321085714285715
60,18,,0.14699717539015883,0.18290285387907732,True,False,False,-3571.81126549272,93.72769936919212,151316.09179684447,15293657.427617472,0.08284306896384806,5882600.967363678,0.11302310489118099,1.7909233123064041,1.0549606196582317,1.0735120665741698,1.9383733989670873,1.7302224095910788,1.63023104891181,13.18873450728006,0.0003151000000000022,13.50709,,0.9369799999999996,0.038591685714285714
60,19,,0.22331819849837928,0.42212075346668365,True,False,False,-3452.6660718932394,99.20456294905968,29625.241961093787,5783677.004715053,0.07993232657249247,4438808.222577439,0.07187337526180024,1.9734854316353225,1.0104663513882122,1.1535769330338426,1.8552093306426416,1.5531964448935416,1.2187337526180024,132.3339281067606,0.00016199000000000074,7.601124,,0.9676019999999999,0.021717497142857145
60,20,,0.13557431603223669,0.3226727981462727,True,False,False,-3289.798335362073,96.65316769594853,21205.288876849932,3972548.1153075676,0.07420949426467852,6967539.783039987,0.057705439047541045,1.8884389231982839,1.0073877333010102,1.1468674662215066,1.691699836133672,1.8705994759433187,1.0770543904754104,295.201664637927,0.00010094000000000075,6.947855,,0.9798119999999999,0.019851014285714286
60,21,,0.10288108257269066,0.08245843391478404,True,False,False,-2293.314986813437,83.22155530564487,177712.43448437494,5212540.017310116,0.07922809345182032,4108820.7339474447,0.09160607298836113,1.4407185101881623,1.0646120104938745,1.0125095182015602,1.8350883843377233,1.502552260644734,1.4160607298836112,1291.685013186563,0.0007256300000000014,35.79834,,0.8548739999999997,0.10228097142857144
60,22,,0.08698582928319593,0.14891982352472097,True,False,False,-2915.026963999438,84.88581279603942,113183.82394594493,11805865.518531127,0.08024922011115554,4707882.074806001,0.09540660356625916,1.4961937598679804,1.0410181797969587,1.076263810242126,1.8642634317473008,1.582579604785322,1.4540660356625916,669.9730360005619,0.0002788700000000005,15.64742,,0.9442259999999999,0.044706914285714286
60,23,,0.17591959628134574,0.402191345844301,True,False,False,-2808.594298553573,92.14317160810741,136224.45206631173,5333988.406960168,0.08308220392855631,5571654.656404792,0.05668707618814455,1.738105720270247,1.049442608503645,1.0208636668043456,1.9452058265301804,1.6911985433977337,1.0668707618814455,776.405701446427,8.814999999999865e-05,9.780041,,0.9823700000000003,0.027942974285714288
