generation,count,is_initialized,f_proxy_scalar,g_al_proxy,lam,mu,al_pen_proxy,g_al_min,g_al_max,g_al_std,n_feasible_parents,pen_to_f_ratio,n_proxy_set,proxy_front_only,proxy_g_quantile,proxy_front_min_size
129,0,False,0.8997245245238097,[-2151.130787934731],[0.0],[0.0],0.0,-2934.3385074983566,-1243.477803452148,538.9493050990411,24,0.0,24,False,,
130,0,False,0.8991843665476192,[-2130.471752902424],[0.0],[0.0],0.0,-2911.1051741650235,-1220.244470118815,540.8729598927384,24,0.0,24,False,,
131,0,False,0.8991843665476192,[-2107.2384195690906],[0.0],[0.0],0.0,-2887.87184083169,-1197.0111367854813,540.8729598927384,24,0.0,24,False,,
132,0,False,0.8991843665476192,[-2084.005086235757],[0.0],[0.0],0.0,-2864.6385074983564,-1173.7778034521477,540.8729598927384,24,0.0,24,False,,
133,0,False,0.8991843665476192,[-2060.7717529024244],[0.0],[0.0],0.0,-2841.4051741650233,-1150.5444701188146,540.8729598927384,24,0.0,24,False,,
134,0,False,0.8991843665476192,[-2037.538419569091],[0.0],[0.0],0.0,-2818.17184083169,-1127.3111367854815,540.8729598927384,24,0.0,24,False,,
135,0,False,0.8991843665476192,[-2014.3050862357575],[0.0],[0.0],0.0,-2794.9385074983566,-1104.077803452148,540.8729598927384,24,0.0,24,False,,
136,0,False,0.8991843665476192,[-1991.0717529024244],[0.0],[0.0],0.0,-2771.7051741650234,-1080.8444701188148,540.8729598927384,24,0.0,24,False,,
137,0,False,0.8991843665476192,[-1967.8384195690908],[0.0],[0.0],0.0,-2748.47184083169,-1057.6111367854812,540.8729598927384,24,0.0,24,False,,
138,0,False,0.8991843665476192,[-1944.6050862357572],[0.0],[0.0],0.0,-2725.2385074983563,-1034.3778034521476,540.8729598927384,24,0.0,24,False,,
139,0,False,0.8991843665476192,[-1921.371752902424],[0.0],[0.0],0.0,-2702.005174165023,-1011.1444701188145,540.8729598927384,24,0.0,24,False,,
140,0,False,0.8991843665476192,[-1898.1384195690907],[0.0],[0.0],0.0,-2678.77184083169,-987.9111367854814,540.8729598927384,24,0.0,24,False,,
141,0,False,0.8991843665476192,[-1874.9050862357572],[0.0],[0.0],0.0,-2655.5385074983565,-964.6778034521478,540.8729598927384,24,0.0,24,False,,
142,0,False,0.8991843665476192,[-1851.6717529024243],[0.0],[0.0],0.0,-2632.3051741650233,-941.4444701188147,540.8729598927384,24,0.0,24,False,,
143,0,False,0.8991843665476192,[-1828.4384195690907],[0.0],[0.0],0.0,-2609.0718408316898,-918.2111367854811,540.8729598927384,24,0.0,24,False,,
144,0,False,0.8933393182142858,[-1808.7883864094385],[0.0],[0.0],0.0,-2585.8385074983566,-894.977803452148,540.5729621852581,24,0.0,24,False,,
145,0,False,0.8814582367857143,[-1870.1030382636516],[0.0],[0.0],0.0,-2562.6051741650235,-871.7444701188149,564.9909867250926,24,0.0,24,False,,
146,0,False,0.8767113135714286,[-1849.2344904301729],[0.0],[0.0],0.0,-2539.37184083169,-848.5111367854813,566.8437040447752,24,0.0,24,False,,
147,0,False,0.8713409834523812,[-1824.1330593267478],[0.0],[0.0],0.0,-2516.1385074983564,-825.2778034521477,565.5977028037338,24,0.0,24,False,,
148,0,False,0.8713409834523812,[-1800.899725993415],[0.0],[0.0],0.0,-2492.9051741650233,-802.0444701188146,565.5977028037338,24,0.0,24,False,,
149,0,False,0.869431264404762,[-1798.709993795642],[0.0],[0.0],0.0,-2469.6718408316897,-778.811136785481,584.7447723434406,24,0.0,24,False,,
150,0,False,0.8648517013095239,[-1847.9844196237761],[0.0],[0.0],0.0,-2446.4385074983566,-755.5778034521479,555.3785226274996,24,0.0,24,False,,
151,0,False,0.8626270477380954,[-1812.9313169524357],[0.0],[0.0],0.0,-2423.205174165024,-732.3444701188153,545.723463288303,24,0.0,24,False,,
152,0,False,0.8582922417857145,[-1795.4010091657017],[0.0],[0.0],0.0,-2399.97184083169,-709.1111367854812,550.5142098105969,24,0.0,24,False,,
153,0,False,0.8564442545238097,[-1787.3403520756674],[0.0],[0.0],0.0,-2376.7385074983563,-685.8778034521476,560.4442757437921,24,0.0,24,False,,
154,0,False,0.8550361372619047,[-1794.9931186096821],[0.0],[0.0],0.0,-2353.5051741650236,-662.644470118815,544.8430614832673,24,0.0,24,False,,
155,0,False,0.8474652679761906,[-1846.8204534518056],[0.0],[0.0],0.0,-2330.27184083169,-741.965906640583,470.1942442882484,24,0.0,24,False,,
156,0,False,0.8441522079761906,[-1889.0024782452556],[0.0],[0.0],0.0,-2307.0385074983565,-750.2762657094061,418.00769331670114,24,0.0,24,False,,
157,0,False,0.843537372261905,[-1865.8315463795527],[0.0],[0.0],0.0,-2283.805174165024,-727.0429323760734,418.05446110852176,24,0.0,24,False,,
158,0,False,0.844301246904762,[-1872.0091696663696],[0.0],[0.0],0.0,-2260.5718408316898,-703.8095990427394,407.0559039495053,24,0.0,24,False,,
159,0,False,0.8405366765476191,[-1894.4883570931809],[0.0],[0.0],0.0,-2237.338507498356,-680.5762657094058,413.79434354595213,24,0.0,24,False,,
160,0,False,0.8449176553571429,[-1856.3199415187619],[0.0],[0.0],0.0,-2214.1051741650235,-657.3429323760731,411.4162771162954,24,0.0,24,False,,
161,0,False,0.8449176553571429,[-1833.086608185428],[0.0],[0.0],0.0,-2190.87184083169,-634.1095990427395,411.4162771162955,24,0.0,24,False,,
162,0,False,0.8449176553571429,[-1809.8532748520945],[0.0],[0.0],0.0,-2167.6385074983564,-610.876265709406,411.4162771162955,24,0.0,24,False,,
163,0,False,0.8456370048809525,[-1787.1898303448027],[0.0],[0.0],0.0,-2144.4051741650233,-587.6429323760728,411.47761549962064,24,0.0,24,False,,
164,0,False,0.8456370048809525,[-1763.9564970114698],[0.0],[0.0],0.0,-2121.17184083169,-564.4095990427397,411.4776154996207,24,0.0,24,False,,
165,0,False,0.8456370048809525,[-1740.7231636781355],[0.0],[0.0],0.0,-2097.938507498356,-541.1762657094057,411.47761549962064,24,0.0,24,False,,
166,0,False,0.8392208517857145,[-1724.2984861153388],[0.0],[0.0],0.0,-2074.7051741650234,-517.942932376073,410.76236705177246,24,0.0,24,False,,
167,0,False,0.8392208517857145,[-1701.0651527820055],[0.0],[0.0],0.0,-2051.4718408316903,-494.7095990427399,410.76236705177246,24,0.0,24,False,,
168,0,False,0.8390803636904764,[-1659.5434963804844],[0.0],[0.0],0.0,-2028.2385074983567,-471.47626570940633,404.972244235731,24,0.0,24,False,,
169,0,False,0.836796382857143,[-1632.7104609902208],[0.0],[0.0],0.0,-2005.0051741650232,-448.24293237607276,406.06124356452455,24,0.0,24,False,,
170,0,False,0.836796382857143,[-1609.4771276568874],[0.0],[0.0],0.0,-1981.77184083169,-425.00959904273964,406.06124356452455,24,0.0,24,False,,
171,0,False,0.8404524951190478,[-1565.6572827252646],[0.0],[0.0],0.0,-1958.5385074983567,-401.7762657094063,399.7814585996748,24,0.0,24,False,,
172,0,False,0.8404524951190478,[-1542.423949391931],[0.0],[0.0],0.0,-1935.3051741650231,-378.5429323760727,399.7814585996748,24,0.0,24,False,,
173,0,False,0.8404524951190478,[-1519.1906160585977],[0.0],[0.0],0.0,-1912.07184083169,-355.3095990427396,399.7814585996748,24,0.0,24,False,,
174,0,False,0.8404524951190478,[-1495.9572827252643],[0.0],[0.0],0.0,-1888.8385074983566,-332.07626570940624,399.7814585996748,24,0.0,24,False,,
175,0,False,0.8314067596428574,[-1518.2673586950875],[0.0],[0.0],0.0,-1865.605174165023,-308.84293237607267,337.6086851019179,24,0.0,24,False,,
176,0,False,0.8301390998809527,[-1477.0345033182928],[0.0],[0.0],0.0,-1841.8578622889736,-285.60959904273955,330.04151130021285,24,0.0,24,False,,
177,0,False,0.823261215952381,[-1441.8982511033737],[0.0],[0.0],0.0,-1818.6245289556402,-262.3762657094062,330.503938796137,24,0.0,24,False,,
178,0,False,0.823261215952381,[-1418.6649177700401],[0.0],[0.0],0.0,-1795.391195622307,-239.14293237607285,330.503938796137,24,0.0,24,False,,
179,0,False,0.8297689930952382,[-1399.4957572744436],[0.0],[0.0],0.0,-1772.1578622889735,-215.9095990427395,331.83771108200546,24,0.0,24,False,,
